work_year,experience_level,job_title,company_location,monthly_salary_mad
2025,Débutant,AI Engineer,Allemagne,22625.0
2025,Débutant,Data Analytics Specialist,Australie,139384.3291666667
2025,Senior,Data Analyst,Brésil,113125.0
2025,Senior,Data Analyst,Irlande,54116.73750000001
2025,Senior,Java Developer,Canada,190728.75
2025,Intermédiaire,Data Architect,Autriche,50450.73333333334
2025,Débutant,Trainee,Tchéquie,13878.175000000001
2025,Cadre supérieur,Head of Marketing,États-Unis,222479.16666666666
2025,Intermédiaire,Business Intelligence Developer,Royaume-Uni,48685.98333333334
2025,Intermédiaire,Data Integrity Specialist,États-Unis,51283.333333333336
2025,Intermédiaire,Analyst,Slovaquie,19052.5125
2025,Senior,AI Architect,Lituanie,60015.075000000004
2025,Senior,Technical Lead,Finlande,76210.05
2025,Senior,Full Stack Developer,Canada,128208.33333333336
2025,Senior,Data Management Specialist,Canada,107016.25
2025,Intermédiaire,Research Scientist,Pays-Bas,226250.0
2025,Senior,Data Steward,États-Unis,96231.66666666667
2025,Senior,Machine Learning Scientist,Pays-Bas,162145.83333333334
2025,Débutant,Data Engineer,Philippines,27150.0
2025,Senior,AI Solutions Lead,États-Unis,149928.33333333334
2025,Débutant,Data Analyst,Slovaquie,21910.050000000003
2025,Senior,Product Analyst,Royaume-Uni,71597.56666666667
2025,Intermédiaire,Research Professional,États-Unis,190267.9541666667
2025,Senior,Solutions Architect,Roumanie,162900.00000000003
2025,Intermédiaire,Data Scientist,Espagne,90500.0
2025,Intermédiaire,Software Developer,Lituanie,42868.34166666667
2025,Intermédiaire,Machine Learning Engineer,Espagne,90500.0
2025,Cadre supérieur,Director of Machine Learning,États-Unis,226250.0
2025,Senior,Data Strategy Lead,États-Unis,105583.33333333333
2025,Senior,Machine Learning Scientist,Canada,188541.66666666666
2025,Intermédiaire,Technical Consultant,Portugal,23021.69166666667
2025,Débutant,Analyst,Nouvelle-Zélande,55046.625
2025,Intermédiaire,Data Scientist,Nouvelle-Zélande,110014.81666666667
2025,Intermédiaire,Data Management Officer,Allemagne,40112.61666666667
2025,Intermédiaire,Engineer,Nouvelle-Zélande,132390.18750000003
2025,Cadre supérieur,Executive,Royaume-Uni,146346.0416666667
2025,Senior,Data Governance Lead,Pays-Bas,70456.5125
2025,Senior,Business Intelligence Engineer,Canada,128283.75000000001
2025,Intermédiaire,Research Scientist,Allemagne,127017.50416666667
2025,Intermédiaire,Data Analyst,Mali,46758.333333333336
2025,Senior,Data Platform Engineer,Canada,107091.66666666667
2025,Senior,Principal Researcher,États-Unis,249780.00000000003
2025,Cadre supérieur,Director of Product Management,États-Unis,212486.45833333334
2025,Intermédiaire,Engineer,Pays-Bas,57157.537500000006
2025,Senior,MLOps Engineer,Norvège,119078.39166666668
2025,Intermédiaire,Content Writer,États-Unis,54390.5
2025,Débutant,Data Analyst,Australie,119761.66666666667
2025,Intermédiaire,Consultant,Royaume-Uni,44867.637500000004
2025,Intermédiaire,Data Developer,Canada,90500.0
2025,Cadre supérieur,Head of Data,Royaume-Uni,67779.22083333334
2025,Intermédiaire,Postdoctoral Scholar,États-Unis,84834.7
2025,Senior,Data Engineer,Autriche,43802.75416666667
2025,Senior,Product Owner,Royaume-Uni,101611.89166666668
2025,Senior,Product Specialist,États-Unis,164785.4166666667
2025,Senior,Bioinformatics Scientist,États-Unis,121760.20833333333
2025,Débutant,Data Quality Analyst,Royaume-Uni,57278.20416666667
2025,Senior,Tech Lead,Canada,230020.83333333334
2025,Senior,Data Visualization Engineer,États-Unis,121043.75
2025,Cadre supérieur,Data Governance,Royaume-Uni,124437.50000000001
2025,Senior,Data Architect,Royaume-Uni,137229.67500000002
2025,Senior,AIRS Solutions Specialist,États-Unis,229643.75
2025,Senior,Machine Learning Lead,États-Unis,119127.41250000002
2025,Intermédiaire,Quantitative Trader,États-Unis,188541.66666666666
2025,Senior,Data Management,Portugal,35326.675
2025,Senior,Machine Learning Architect,Canada,128962.50000000001
2025,Senior,Tech Lead,Royaume-Uni,133649.64583333334
2025,Senior,Principal Engineer,Royaume-Uni,133649.64583333334
2025,Senior,Technical Recruiter,Royaume-Uni,85917.68333333333
2025,Senior,Product Analyst,Inde,35010.67916666667
2025,Intermédiaire,Backend Engineer,Portugal,90500.0
2025,Intermédiaire,QA Engineer,Chili,64104.16666666668
2025,Senior,Full Stack Developer,Allemagne,87324.20416666668
2025,Intermédiaire,Databricks Engineer,Canada,98041.66666666667
2025,Intermédiaire,Data Integrator,Canada,98041.66666666667
2025,Senior,QA Engineer,États-Unis,168480.83333333334
2025,Senior,Java Developer,États-Unis,90500.0
2025,Intermédiaire,Data Management Professional,États-Unis,149325.00000000003
2025,Intermédiaire,Quantitative Risk Analyst,Malaisie,13575.0
2025,Intermédiaire,AI Data Scientist,États-Unis,117650.0
2025,Intermédiaire,Data Specialist,Brésil,60333.333333333336
2025,Senior,Data Modeler,Canada,112747.91666666667
2025,Intermédiaire,QA Tutor Reviewer,Salvador,18100.000000000004
2025,Intermédiaire,QA Tutor Reviewer,Colombie,18100.000000000004
2025,Intermédiaire,QA Tutor Reviewer,République dominicaine,18100.000000000004
2025,Intermédiaire,QA Tutor Reviewer,Argentine,18100.000000000004
2025,Intermédiaire,QA Tutor Reviewer,Mexique,18100.000000000004
2025,Intermédiaire,QA Tutor Reviewer,Guatemala,18100.000000000004
2025,Intermédiaire,QA Tutor Reviewer,Costa Rica,18100.000000000004
2025,Intermédiaire,DevOps Engineer,Canada,96646.45833333333
2025,Senior,MLOps Engineer,Canada,155660.00000000003
2025,Senior,Data Architect,Pays-Bas,95262.5625
2025,Senior,Data Team Lead,Lituanie,57157.537500000006
2025,Intermédiaire,Researcher,Canada,117800.83333333333
2025,Intermédiaire,Manager,France,71446.73333333334
2025,Débutant,Data Management,Australie,63576.25000000001
2025,Senior,Manager,Lettonie,33341.708333333336
2025,Senior,Software Engineer,Inde,44587.841666666674
2025,Intermédiaire,DevOps Engineer,Royaume-Uni,68311.6625
2025,Intermédiaire,Technical Specialist,Canada,77302.08333333334
2025,Intermédiaire,Manager,Irlande,150833.33333333334
2025,Intermédiaire,AI Engineer,Espagne,79385.84583333334
2025,Intermédiaire,Machine Learning Specialist,Canada,95025.0
